slug,slither_scan_rows,slither_any_flag,slither_issues_sum,slither_first_scan,slither_last_scan
aave-v3,1,1,1,2025-09-27 19:50:29,2025-09-27 19:50:29
arbitrum-bridge,1,1,1,2025-09-27 19:50:19,2025-09-27 19:50:19
balancer-v2,1,1,1,2025-09-27 19:50:27,2025-09-27 19:50:27
compound-v3,1,1,1,2025-09-27 19:50:31,2025-09-27 19:50:31
curve-dex,1,1,1,2025-09-27 19:50:26,2025-09-27 19:50:26
derive-v2,1,1,1,2025-09-27 19:50:23,2025-09-27 19:50:23
djed-stablecoin,1,1,1,2025-09-27 19:50:34,2025-09-27 19:50:34
drift-trade,1,1,1,2025-09-27 19:50:21,2025-09-27 19:50:21
dydx-v3,1,1,1,2025-09-27 19:50:24,2025-09-27 19:50:24
dydx-v4,1,1,1,2025-09-27 19:50:22,2025-09-27 19:50:22
euler-v2,1,1,1,2025-09-27 19:50:32,2025-09-27 19:50:32
flat-money-v1,1,1,1,2025-09-27 19:50:35,2025-09-27 19:50:35
flat-money-v2,1,1,1,2025-09-27 19:50:34,2025-09-27 19:50:34
fx-protocol,1,1,1,2025-09-27 19:50:33,2025-09-27 19:50:33
gmx-v2-perps,1,1,1,2025-09-27 19:50:22,2025-09-27 19:50:22
hyperliquid-bridge,1,1,1,2025-09-27 19:50:19,2025-09-27 19:50:19
hyperliquid-hlp,1,1,1,2025-09-27 19:50:22,2025-09-27 19:50:22
jupiter-perpetual-exchange,1,1,1,2025-09-27 19:50:21,2025-09-27 19:50:21
justcryptos,1,1,1,2025-09-27 19:50:20,2025-09-27 19:50:20
justlend,1,1,1,2025-09-27 19:50:30,2025-09-27 19:50:30
kamino-lend,1,1,1,2025-09-27 19:50:30,2025-09-27 19:50:30
m0,1,1,1,2025-09-27 19:50:33,2025-09-27 19:50:33
maple,1,1,1,2025-09-27 19:50:31,2025-09-27 19:50:31
moneyonchain,1,1,1,2025-09-27 19:50:34,2025-09-27 19:50:34
morpho-blue,1,1,1,2025-09-27 19:50:29,2025-09-27 19:50:29
pancakeswap-amm,1,1,1,2025-09-27 19:50:26,2025-09-27 19:50:26
pancakeswap-amm-v3,1,1,1,2025-09-27 19:50:28,2025-09-27 19:50:28
portal,1,1,1,2025-09-27 19:50:20,2025-09-27 19:50:20
raydium-amm,1,1,1,2025-09-27 19:50:25,2025-09-27 19:50:25
reserve-protocol,1,1,1,2025-09-27 19:50:28,2025-09-27 19:50:28
sparklend,1,1,1,2025-09-27 19:50:30,2025-09-27 19:50:30
synthetix-v3,1,1,1,2025-09-27 19:50:23,2025-09-27 19:50:23
uniswap-v2,1,1,1,2025-09-27 19:50:26,2025-09-27 19:50:26
uniswap-v3,1,1,1,2025-09-27 19:50:24,2025-09-27 19:50:24
uniswap-v4,1,1,1,2025-09-27 19:50:27,2025-09-27 19:50:27
venus-core-pool,1,1,1,2025-09-27 19:50:32,2025-09-27 19:50:32
