slug,solhint_n_issues,solhint_unique_rules,solhint_sev_warning,solhint_sev_unknown_sev,solhint_sev_error,solhint_rule_use_natspec,solhint_rule_explicit_types,solhint_rule_reason_string,solhint_rule_gas_small_strings,solhint_rule_not_rely_on_time,solhint_rule_gas_indexed_events,solhint_rule_gas_strict_inequalities,solhint_rule_visibility_modifier_order,solhint_rule_quotes,solhint_rule_no_inline_assembly,solhint_rule_func_name_mixedcase,solhint_rule_interface_starts_with_i,solhint_rule_gas_custom_errors,solhint_rule_contract_name_capwords,solhint_rule_unknown_rule,solhint_rule_const_name_snakecase,solhint_rule_state_visibility,solhint_rule_one_contract_per_file,solhint_rule_gas_increment_by_one
01,677,38,673,3,1,489,38,38,40,11,3,5,0,0,5,0,0,0,0,0,0,0,0,5
aave-v3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aura,1900,52,1872,4,24,1228,380,14,27,0,62,9,0,21,0,17,0,31,0,0,3,0,0,0
avalon-finance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
benqi-lending,988,19,987,1,0,380,427,13,0,0,63,0,48,0,0,0,0,0,0,0,0,0,0,0
clever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
compound-v2,2673,93,2666,7,0,863,1233,70,19,0,185,9,70,0,0,0,0,0,0,0,4,5,0,0
compound-v3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
convex-finance,3382,90,3366,7,9,2938,0,56,88,0,0,44,3,0,6,102,0,0,0,0,0,0,0,0
crvusd,2966,143,2951,15,0,2125,312,110,132,11,62,37,6,0,15,34,0,12,0,0,3,5,0,0
euler-v2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fluid-lending,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
folks-finance-xchain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gmx-v2-perps,130,14,128,2,0,84,11,10,10,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0
gooddollar,511,13,510,1,0,279,168,0,6,0,43,0,0,0,0,0,0,0,0,0,3,0,0,0
lista-cdp,288,30,285,3,0,150,0,30,39,0,0,0,0,0,12,0,0,36,0,0,0,0,0,0
lista-lending,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
maple,371,14,370,1,0,302,0,0,0,7,8,0,0,0,0,0,0,30,6,0,0,0,0,0
market,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
morpho-blue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pendle,5221,262,5001,20,200,3026,1118,93,149,11,191,87,3,198,6,0,0,0,0,2,7,0,0,5
penpie,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
sentiment,96,10,95,1,0,50,0,10,13,0,0,0,0,0,4,0,0,12,0,0,0,0,0,0
sky-lending,860,55,854,6,0,566,155,28,8,11,1,42,0,0,4,0,8,0,0,0,0,0,2,0
spark-savings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sparklend,151,7,150,1,0,67,43,9,0,0,0,26,0,0,3,0,0,0,0,0,0,0,0,0
vanilla,183,12,182,1,0,123,8,13,23,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
venus-core-pool,228,31,219,6,3,119,26,16,25,0,4,5,3,0,0,0,0,0,0,6,4,0,0,0
zyfai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
